open,high,low,close,volume
178.8,179.02,178.8,179.02,6358
179.02,179.02,178.76,178.86,7546
178.86,178.86,178.61,178.61,930
178.61,178.67,178.53,178.53,14328
178.5,178.57,178.38,178.53,3998
178.53,178.71,178.5,178.71,8566
178.71,178.76,178.38,178.48,7108
178.48,178.63,178.48,178.57,4430
178.63,178.63,178.38,178.38,1594
178.38,178.56,178.35,178.44,1756
178.44,178.44,178.31,178.33,462
178.33,178.41,177.93,178.14,10980
178.14,178.37,178.14,178.37,2050
178.37,178.48,178.29,178.38,3234
178.38,178.52,178.38,178.52,300
178.52,178.52,178.31,178.5,1334
178.5,178.5,178.5,178.5,0
178.5,178.5,178.41,178.44,472
178.44,178.44,178.35,178.35,20
178.35,178.38,178.35,178.38,528
178.38,178.48,178.31,178.33,498
178.33,178.57,178.33,178.52,1196
178.5,178.5,178.37,178.37,268
178.37,178.46,178.35,178.35,400
178.41,178.44,178.38,178.38,348
178.46,178.5,178.37,178.5,448
178.5,178.53,178.48,178.5,672
178.52,178.52,178.41,178.41,288
178.52,178.52,178.52,178.52,88
178.52,178.57,178.52,178.57,1172
178.57,178.57,178.46,178.57,218
178.57,178.57,178.42,178.42,492
178.53,178.53,178.53,178.53,110
178.53,178.53,178.53,178.53,88
178.53,178.53,178.53,178.53,90
178.57,178.57,178.56,178.56,106
178.56,178.56,178.44,178.44,252
178.56,178.56,178.38,178.52,1012
178.53,178.56,178.53,178.56,104
178.57,178.57,178.44,178.53,196
178.56,178.56,178.41,178.53,304
178.53,178.57,178.33,178.33,2746
178.31,178.38,178.31,178.38,132
178.38,178.52,178.38,178.52,308
178.53,178.53,178.42,178.53,166
178.56,178.57,178.5,178.57,602
178.57,178.57,178.57,178.57,54
178.57,178.57,178.53,178.57,412
178.57,178.57,178.5,178.56,354
178.56,178.56,178.56,178.56,18
178.52,178.57,178.52,178.57,1152
178.57,178.57,178.57,178.57,1596
178.57,178.57,178.57,178.57,1298
178.57,178.57,178.57,178.57,366
178.57,178.57,178.52,178.52,564
178.52,178.57,178.44,178.57,688
178.57,178.57,178.53,178.57,908
178.57,178.57,178.5,178.56,594
178.57,178.57,178.57,178.57,522
178.57,178.57,178.57,178.57,2458
178.57,178.57,178.57,178.57,562
178.57,178.57,178.52,178.52,1088
178.57,178.57,178.46,178.46,1220
178.5,178.63,178.48,178.57,4462
178.57,178.57,178.57,178.57,760
178.57,178.57,178.57,178.57,2154
178.57,178.61,178.57,178.57,3688
178.57,178.57,178.42,178.42,724
178.44,178.57,178.44,178.57,1034
178.57,178.57,178.57,178.57,650
178.57,178.57,178.53,178.56,664
178.56,178.56,178.53,178.53,618
178.53,178.57,178.48,178.57,1076
178.57,178.57,178.5,178.57,626
178.5,178.57,178.5,178.57,608
178.57,178.57,178.5,178.57,652
178.57,178.57,178.57,178.57,1210
178.57,178.57,178.53,178.57,578
178.57,178.57,178.57,178.57,646
178.57,178.57,178.5,178.5,4672
178.57,178.57,178.5,178.57,1216
178.57,178.61,178.56,178.56,4022
178.57,178.57,178.53,178.53,906
178.5,178.57,178.5,178.57,1006
178.57,178.57,178.48,178.5,846
178.56,178.65,178.56,178.57,5270
178.63,178.74,178.56,178.74,12982
178.74,178.74,178.5,178.5,1944
178.56,178.56,178.46,178.56,804
178.56,178.57,178.46,178.53,1050
178.53,178.56,178.53,178.53,1038
178.56,178.57,178.53,178.57,794
178.57,178.57,178.57,178.57,810
178.57,178.57,178.5,178.56,1198
178.56,178.57,178.5,178.52,584
178.56,178.57,178.52,178.53,626
178.53,178.56,178.48,178.5,1398
178.5,178.53,178.5,178.53,258
178.53,178.53,178.53,178.53,1026
178.53,178.53,178.53,178.53,550
178.53,178.57,178.44,178.57,1022
178.57,178.57,178.56,178.57,1468
178.57,178.57,178.57,178.57,1764
178.57,178.57,178.52,178.56,668
178.57,178.57,178.57,178.57,1170
178.57,178.57,178.5,178.57,390
178.57,178.57,178.5,178.57,1030
178.57,178.57,178.5,178.57,1196
178.57,178.57,178.57,178.57,1118
178.57,178.57,178.5,178.57,654
178.57,178.57,178.5,178.53,1344
178.52,178.57,178.46,178.48,674
178.53,178.57,178.52,178.57,344
178.57,178.57,178.57,178.57,800
178.57,178.57,178.53,178.57,612
178.57,178.61,178.57,178.57,2964
178.57,178.57,178.52,178.57,2192
178.57,178.61,178.57,178.61,6170
178.61,178.74,178.44,178.44,13962
178.48,178.67,178.48,178.57,16490
178.57,178.61,178.5,178.57,7382
178.57,178.61,178.48,178.53,4370
178.53,178.56,178.44,178.46,3432
178.46,178.46,178.33,178.35,976
178.35,178.42,178.35,178.38,3696
178.38,178.38,178.37,178.37,1458
178.46,178.53,178.37,178.44,402
178.52,178.52,178.29,178.29,1672
178.35,178.38,178.27,178.38,572
178.48,178.5,178.27,178.29,1150
178.38,178.61,178.29,178.5,5378
178.5,178.52,178.26,178.52,2614
178.57,178.61,178.38,178.57,3720
178.57,178.57,178.26,178.31,3596
178.29,178.5,177.99,178.46,9180
178.46,178.53,178.01,178.12,7020
178.05,178.38,178.03,178.38,9676
178.37,178.52,178.26,178.42,3466
178.38,178.38,178.08,178.18,13636
178.16,178.27,178.08,178.16,1962
178.16,178.38,178.05,178.05,7424
178.05,178.16,178.05,178.14,3536
178.14,178.16,177.86,177.99,4096
177.99,178.11,177.86,178.11,1462
178.12,178.16,178.01,178.11,2010
178.11,178.2,178.11,178.11,5570
178.14,178.44,178.07,178.33,2914
178.37,178.37,178.14,178.22,806
178.27,178.29,178.2,178.2,1120
178.29,178.29,178.27,178.29,278
178.29,178.29,178.07,178.07,866
178.07,178.27,178.07,178.27,158
178.27,178.35,178.27,178.35,1344
178.35,178.38,178.33,178.37,806
178.38,178.38,178.33,178.33,204
178.38,178.38,178.37,178.38,538
178.37,178.37,178.12,178.27,2402
178.31,178.31,178.07,178.07,534
178.07,178.11,178.05,178.11,1402
178.2,178.26,177.93,177.93,3840
178.01,178.08,177.97,178.03,374
178.16,178.37,178.07,178.26,1294
178.35,178.35,178.11,178.11,722
178.2,178.35,178.12,178.16,1936
178.16,178.16,178.07,178.11,1508
178.11,178.18,178.11,178.12,410
178.12,178.18,178.01,178.11,1582
178.08,178.16,178.05,178.07,1026
178.07,178.2,178.07,178.12,906
178.12,178.14,178.03,178.07,760
178.07,178.18,178.07,178.16,988
178.16,178.16,178.07,178.12,1226
178.12,178.16,178.11,178.12,566
178.12,178.18,178.12,178.16,776
178.16,178.18,178.14,178.14,356
178.14,178.14,177.86,177.92,2186
177.92,177.92,177.59,177.82,4192
177.82,177.99,177.77,177.93,908
177.93,178.01,177.8,178.01,2708
178.01,178.12,177.84,178.05,1506
178.05,178.05,177.74,177.78,3874
177.74,178.07,177.74,178.01,3010
178.01,178.01,177.92,177.92,4024
177.92,178.01,177.82,178.01,2064
178.01,178.01,177.89,177.92,2196
177.92,177.92,177.77,177.77,3212
177.77,177.88,177.59,177.59,3462
177.59,177.62,177.37,177.52,11804
177.52,177.52,177.26,177.29,3934
177.29,177.47,177.07,177.07,48430
177.07,177.2,176.94,177.11,20922
177.11,177.22,176.99,177.17,13056
177.17,177.22,177.14,177.22,8070
177.26,177.41,177.17,177.17,6286
177.17,177.37,177.11,177.13,12762
177.13,177.58,177.11,177.26,14550
177.26,177.33,177.07,177.22,3016
177.22,177.22,177.14,177.2,4508
177.22,177.33,177.07,177.07,4878
177.07,177.18,176.99,177.07,10382
177.07,177.07,176.99,177.03,11080
177.03,177.11,177.03,177.07,9378
177.03,177.11,177.03,177.11,18468
177.48,177.48,176.6,176.65,27522
176.65,177.05,176.53,176.77,13322
176.77,176.77,176.53,176.54,1644
176.54,176.84,176.54,176.6,5794
176.6,176.62,176.5,176.54,1742
176.54,176.54,176.15,176.32,7546
176.32,176.5,176.19,176.38,3214
176.38,176.49,176.17,176.41,7616
176.41,176.41,175.94,176.02,6722
176.02,176.23,175.38,175.47,6224
175.47,175.51,175.32,175.51,2368
175.51,175.55,175.36,175.55,2012
175.55,175.74,175.49,175.71,2392
175.71,175.77,175.34,175.47,3714
175.47,175.51,175.3,175.38,3616
175.38,175.41,175.19,175.41,9938
175.41,175.45,175.08,175.14,3610
175.14,175.23,175.08,175.19,676
175.19,175.38,175.11,175.38,2398
175.38,175.44,175.29,175.4,5048
175.4,175.45,175.36,175.45,1758
175.45,175.7,175.45,175.66,1964
175.66,175.7,175.51,175.68,416
175.68,176.05,175.68,176.04,1890
175.94,176.04,175.83,175.9,286
175.9,175.94,175.86,175.86,1394
175.86,175.98,175.86,175.98,574
175.98,176,175.89,175.96,980
175.96,176.04,175.89,175.89,3434
175.85,175.92,175.85,175.89,890
175.89,175.89,175.26,175.26,3122
175.26,175.49,175.25,175.45,866
175.36,175.44,175.34,175.44,820
175.44,175.45,175.4,175.4,334
175.4,176.02,175.38,175.71,4010
175.71,175.94,175.4,175.94,5978
175.94,176.11,175.81,175.81,6150
175.75,175.86,175.44,175.44,10380
175.44,175.86,175.4,175.86,2866
175.86,176.09,175.75,175.92,2982
175.86,176.13,175.86,176.09,1878
176.09,176.09,175.74,175.83,4298
175.83,175.89,175.81,175.81,5324
175.81,176.08,175.81,176.05,936
176,176.13,175.86,175.9,3164
175.9,176.02,175.85,175.85,1620
175.83,175.85,175.77,175.85,1134
175.83,175.85,175.56,175.56,1800
175.62,175.85,175.6,175.6,1458
175.71,175.71,175.55,175.55,1482
175.55,175.71,175.55,175.71,602
175.71,175.75,175.71,175.75,276
175.75,175.75,175.64,175.68,400
175.68,175.68,175.66,175.66,208
175.66,175.66,175.6,175.6,72
175.6,175.6,175.6,175.6,0
175.6,175.7,175.6,175.7,1042
175.68,175.79,175.68,175.7,54
175.7,175.7,175.66,175.7,270
175.7,175.89,175.7,175.81,554
175.81,175.85,175.74,175.81,1020
175.71,175.92,175.71,175.92,126
175.92,175.92,175.49,175.51,5238
175.49,176.05,175.49,176.05,6970
176.05,176.05,175.55,175.59,8282
175.56,175.94,175.38,175.81,7626
175.81,175.89,175.59,175.75,9276
175.75,175.85,175.75,175.77,1246
175.77,175.77,175.64,175.64,714
175.64,175.85,175.64,175.81,172
175.75,175.9,175.75,175.86,2464
175.86,175.86,175.79,175.85,1332
175.85,175.85,175.79,175.79,296
175.79,175.79,175.62,175.68,426
175.68,175.71,175.68,175.71,20
175.71,175.74,175.71,175.74,8
175.74,175.85,175.74,175.79,1014
175.79,175.79,175.79,175.79,98
175.79,175.79,175.66,175.68,4542
175.68,176.13,175.68,176.13,4378
176.13,176.13,175.9,176.08,3162
176.08,176.13,175.94,176.02,1462
176.02,176.09,175.94,176.09,1686
176.09,176.23,176.09,176.17,2290
176.17,176.26,176.02,176.02,5574
176.02,176.08,175.98,176.05,2234
176.05,176.62,176.05,176.5,18184
176.62,176.68,176.26,176.32,16612
176.24,176.39,175.98,176.39,11610
176.43,176.62,176.24,176.34,10620
176.35,176.5,176.35,176.43,3732
176.43,176.62,176.24,176.34,19464
176.34,176.69,176.28,176.69,16896
176.69,176.69,176.62,176.65,17240
176.65,176.65,176.38,176.54,1926
176.54,176.54,176.24,176.32,2936
176.32,176.39,176.13,176.32,1410
176.32,176.68,176.3,176.65,2044
176.65,176.68,176.62,176.62,368
176.62,176.62,176.5,176.62,1436
176.62,176.62,176.45,176.62,1256
176.62,176.68,176.58,176.68,698
176.68,176.69,176.54,176.69,2336
176.69,176.69,176.64,176.69,4788
176.69,176.69,176.62,176.68,2206
176.68,176.69,176.68,176.68,782
176.68,176.69,176.65,176.69,1572
176.69,176.69,176.64,176.65,1204
